"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"SYR",1,2001,3.48051831075086824,763.156831107765056
"SYR",2,2001,23.25912672744357486,5419.1761010305628777
"SYR",3,2001,7.87928917830946160,1948.088176805348017
"SYR",7,2001,2.14026471803819447,545.701701130871302
"SYR",8,2001,75.27090925910151567,20104.07475929276057
"SYR",9,2001,6.35280666331163192,1346.45463933203382
"SYR",10,2001,27.09584497231988238,5837.382558943406086
"SYR",11,2001,76.98551295824220087,19513.468969068044025
"SYR",13,2001,1.6103298562391495,391.4867973890811
"SYR",14,2001,43.16069209001519355,9687.991482304150942
"SYR",1,2002,0.98615099518446172,231.680006268325274
"SYR",2,2002,2.558609437022569594,570.48222873590249
"SYR",3,2002,4.6899053780295128,1152.463674958076224
"SYR",7,2002,0.18846730959635416,50.049385769796224
"SYR",8,2002,21.65658957744358201,5728.124798379057305
"SYR",9,2002,0.50798032372178822,106.824555878104547
"SYR",10,2002,15.28043375497179089,3924.960671523245838
"SYR",11,2002,88.70642463840057969,23194.44664757167376
"SYR",13,2002,0.19324742538411459,45.920300291260847
"SYR",14,2002,13.23138523031683690,2776.762359759600502
"SYR",1,2003,0.862636689305555655,207.000847955218817
"SYR",2,2003,14.35869619930991359,3271.943706879411703
"SYR",3,2003,1.56502855542968759,404.767616050241288
"SYR",7,2003,0.3776244531141493,97.10558597757023
"SYR",8,2003,8.80060577912760460,2424.938097270603138
"SYR",9,2003,0.38155092646050346,73.839043986137751
"SYR",10,2003,24.91010448830946069,6207.8682505458995774
"SYR",11,2003,54.9989934792621614,13763.762477349569405
"SYR",13,2003,0.19340711859266493,44.04650072344292
"SYR",14,2003,8.35769402603732576,1895.005935998060973
"SYR",1,2004,0.12326278588324653,20.606486699653495
"SYR",2,2004,7.03508487781249984,1628.15387242333196
"SYR",3,2004,1.18866242736111103,295.684602937986306
"SYR",7,2004,0.69690460052517363,152.867353048822455
"SYR",8,2004,8.2464619414539938,2166.991752869820123
"SYR",9,2004,0.25391804651909724,57.114823897616245
"SYR",10,2004,14.46441878658202794,3980.428490566511944
"SYR",11,2004,71.26797196870006877,18984.62122090344787
"SYR",13,2004,0.57939603500976561,144.45476158469172
"SYR",14,2004,3.16626386467230921,673.756331203229236
"SYR",1,2005,0.06161167083333333,15.679435993762398
"SYR",2,2005,6.46586860135850824,1534.143257033315172
"SYR",3,2005,0.87429919189019097,235.25393085503984
"SYR",7,2005,0.12638572877604165,35.592993625173015
"SYR",8,2005,9.5146435558854174,2400.35696060894345
"SYR",9,2005,2.79286321169921917,683.375296154116139
"SYR",10,2005,12.2790439230447073,3127.998373456669515
"SYR",11,2005,742.44725210228710400,112862.487700600783968
"SYR",13,2005,1.4172452521202259,371.94613307191807
"SYR",14,2005,15.82841670513020962,3583.689989654477952
"SYR",1,2006,0.06208299996527778,16.446457008349316
"SYR",2,2006,4.66215646694227445,1160.577608702181104
"SYR",3,2006,1.43259057707031251,372.94707016468876
"SYR",8,2006,155.61311210804873698,29024.904075510411253
"SYR",9,2006,0.31725699003472224,68.26412767558995
"SYR",10,2006,46.66403885151906839,14600.354706900487132
"SYR",11,2006,65.29126812832464573,17194.851119030609092
"SYR",14,2006,6.70905121837890603,1509.687005254915359
"SYR",2,2007,7.33394702714409779,1808.161989130333748
"SYR",3,2007,2.62946191774305563,720.761208051727714
"SYR",7,2007,1.07353211677517364,287.465086691198824
"SYR",8,2007,24.38528095067707784,6731.95699728562427
"SYR",9,2007,1.90421070041449688,409.461636564433215
"SYR",10,2007,34.82324766776257513,10714.56487609466313
"SYR",11,2007,1480.0240603854992633,255717.68506749436113
"SYR",13,2007,0.12887231106662325,35.53883539895101
"SYR",14,2007,24.93426923190320928,6026.445053767558103
"SYR",1,2008,2.22797641291449651,580.563515157655344
"SYR",2,2008,120.96570414853900126,19904.046370862951038
"SYR",3,2008,2.12843400520616349,560.208737336360091
"SYR",7,2008,0.76267950808810771,190.621420776773347
"SYR",8,2008,12.50624568223090143,3612.667926234907266
"SYR",9,2008,0.12706964826171876,29.614782560647077
"SYR",10,2008,10.39350999081380302,2847.54113638883362
"SYR",11,2008,668.02185931443544946,146453.95002819634318
"SYR",14,2008,17.0242636860286447,4299.300055996741223
"SYR",1,2009,0.309337710019531260,81.592858079566346
"SYR",2,2009,18.72513296207248850,4920.06514815252494
"SYR",3,2009,4.065436544203559404,1104.176783742266441
"SYR",7,2009,0.56898590713107641,150.853524774503452
"SYR",8,2009,30.97024746331165845,7079.095430584793530
"SYR",9,2009,2.09473035123480872,510.5749013453494
"SYR",10,2009,7.07021218854600679,1764.292815033114930
"SYR",11,2009,54.88308207091579278,15082.012954703275304
"SYR",13,2009,0.06440960108506945,18.51733377132528
"SYR",14,2009,12.15520263885850917,3037.781439191145179
"SYR",1,2010,0.8688391907400174,233.92518195453528
"SYR",2,2010,4.921604374689670906,1287.612180239482699
"SYR",3,2010,6.38745470592665078,1722.64630257862777
"SYR",7,2010,0.25170124207031250,67.916924990075561
"SYR",8,2010,34.21208245565104492,9922.189047466829290
"SYR",9,2010,1.14302050989149314,269.23619949052470
"SYR",10,2010,113.33282217909763835,16500.464971994159985
"SYR",11,2010,69.66661657814021017,19942.979947469469585
"SYR",13,2010,0.06441252243923612,18.560131810597284
"SYR",14,2010,9.68441279500434006,2480.090537282251358
"SYR",1,2011,4.1571398634353293,1179.28374371040013
"SYR",2,2011,3.04923707957682353,787.800297587430779
"SYR",3,2011,0.62643609544487849,156.676498116696181
